from,to,line,km
올림픽공원,한성백제,9호선,1.24
왕십리,응봉,경의·중앙선,1.32
왕십리,청량리,경의·중앙선,2.37
왕십리,청량리,수인·분당선,2.37
왕십리,한양대,2호선,0.84
왕십리,행당,5호선,0.75
외대앞,회기,1호선,0.90
용마산,중곡,7호선,0.86
용문,원덕,경의·중앙선,4.59
용산,이촌,경의·중앙선,1.09
용산,효창공원앞,경의·중앙선,1.07
우장산,화곡,5호선,0.87
운길산,팔당,경의·중앙선,5.87
운양,장기,김포골드라인,1.70
운연,인천대공원,인천2호선,1.15
운정중앙,킨텍스,GTX-A,5.94
운천,임진강,경의·중앙선,2.04
원당,원흥,3호선,2.70
원당,화정,3호선,2.34
원덕,지평,경의·중앙선,7.41
월롱,파주,경의·중앙선,2.04
을지로3가,을지로4가,2호선,0.48
을지로3가,을지로입구,2호선,0.88
을지로3가,종로3가,3호선,0.63
을지로3가,충무로,3호선,0.66
을지로4가,종로3가,5호선,0.81
의정부,회룡,1호선,1.29
의정부시청,흥선,의정부경전철,0.48
의정부중앙,흥선,의정부경전철,1.10
이태원,한강진,6호선,0.88
인덕원,정부과천청사,4호선,3.01
인덕원,평촌,4호선,1.40
인천공항1터미널,인천공항2터미널,공항철도,2.94
인천논현,호구포,수인·분당선,1.23
인천대입구,지식정보단지,인천1호선,1.03
일산,탄현,경의·중앙선,1.61
일산,풍산,경의·중앙선,1.74
일산,풍산,서해선,1.74
자양,청담,7호선,1.97
잠실,잠실나루,2호선,0.73
잠실,잠실새내,2호선,1.36
잠실새내,종합운동장,2호선,0.98
전곡,청산,1호선,3.28
정발산,주엽,3호선,1.57
정자,판교,신분당선,3.23
제1터미널,탑승동,공항셔틀트레인,0.84
제2터미널,탑승동,공항셔틀트레인,1.40
제기동,청량리,1호선,1.32
종각,종로3가,1호선,0.87
종로3가,종로5가,1호선,0.84
주안,주안국가산단,인천2호선,0.94
중계,하계,7호선,1.13
중랑,회기,경의·중앙선,1.71
중랑,회기,경춘선,1.71
중앙,한대앞,4호선,1.50
중앙,한대앞,수인·분당선,1.50
지식정보단지,테크노파크,인천1호선,1.01
천마산,평내호평,경춘선,3.63
청계산입구,판교,신분당선,7.82
청량리,회기,1호선,1.24
청량리,회기,경의·중앙선,1.24
청량리,회기,경춘선,1.24
캠퍼스타운,테크노파크,인천1호선,0.82
태릉입구,화랑대,6호선,0.86
평택,평택지제,1호선,3.44
하남검단산,하남시청,5호선,1.49
하남시청,하남풍산,5호선,1.26
한성대입구,혜화,4호선,0.74
합정,홍대입구,2호선,1.07
